post_id,platform,post_timestamp,likes,comments,shares,reach
d49dadb4-fc1e-4775-88ad-d60b75cf5123,LinkedIn,2021-04-23 08:19:49,415.0,,85.0,1842.0
16ce29c5-2dc7-478f-9814-a86754f3ce8b,Instagram,2023-07-30 06:40:06,908.0,125.0,85.0,3884.0
6a6cc741-72f4-4111-95a0-c5ee04a175a8,Instagram,2021-12-05 03:56:53,412.0,419.0,,849.0
0b5a3e70-c556-43cb-ad4f-a1d0003348bc,Twitter,2021-09-28 20:39:00,667.0,153.0,,3519.0
a7d3e958-e2fe-411e-a24a-b96e821fc050,Facebook,2023-02-27 17:51:21,659.0,215.0,34.0,2032.0
0922ea18-ea90-4302-b126-bd95f85a0926,Facebook,2021-11-23 08:32:30,510.0,438.0,110.0,2667.0
0510219c-c413-4203-a9c6-e176a299ce10,Instagram,2022-09-28 06:32:05,874.0,239.0,91.0,1553.0
c394636e-4e5c-4453-b096-597e530bd4eb,LinkedIn,2023-07-27 06:32:02,627.0,135.0,90.0,1498.0
75142995-8ed2-419d-9632-72a0b631175b,LinkedIn,2023-01-04 16:22:21,1000.0,378.0,94.0,3695.0
aeaed62e-bfa7-4f81-aea7-3ce2413ac473,Twitter,2021-07-18 07:55:37,573.0,135.0,8.0,2508.0
a30c948b-0fb3-4e92-95da-e2dea184f568,Facebook,2022-06-19 14:16:00,604.0,29.0,2.0,
aee74d06-c775-459c-8fc4-013ce25644f1,Twitter,2022-06-04 06:19:50,288.0,230.0,56.0,3927.0
80415748-a509-4fc6-8b55-74f2babe5dac,Instagram,2022-05-12 15:41:22,870.0,92.0,15.0,4829.0
4455db75-4f0c-4781-b2bc-92534300689b,Instagram,2022-03-14 00:27:11,322.0,195.0,146.0,3477.0
224cc707-0522-41ce-a614-59ff5a958ac4,Twitter,2023-08-01 20:46:36,387.0,30.0,55.0,2901.0
5bd6ec09-6522-43c5-9e80-d0a027a27387,Twitter,2022-02-05 12:47:41,416.0,271.0,44.0,2101.0
155695e8-1195-46bb-b5c3-0d93d8ecbb23,Facebook,2023-11-08 14:06:20,632.0,267.0,58.0,3020.0
11e4a8bf-1afe-468b-81e0-bbfe18cd4e22,Facebook,2023-03-30 16:18:47,759.0,95.0,,2284.0
12ed0666-b7ef-41ba-95e0-301508cefb74,Instagram,2021-11-08 16:18:39,210.0,49.0,86.0,3443.0
4b98c0d9-4930-4d90-9608-dbbdfb5ad4cd,Twitter,2021-08-17 04:23:04,843.0,302.0,,678.0
c5799bc4-30fc-4323-a871-30137bac0810,Facebook,2023-02-02 15:52:13,872.0,169.0,,1726.0
536441ad-4b93-4ad0-8dc3-fea0d05b1e0a,Instagram,2022-05-03 19:33:24,,325.0,,668.0
bde31374-daa4-4821-babf-2770d901f0ac,Twitter,2023-01-28 18:40:48,252.0,70.0,117.0,2192.0
c7cdb682-265f-4823-a033-2a0bd88c8c3d,Twitter,2022-09-16 04:22:21,915.0,489.0,89.0,3579.0
ffb7d4f4-7616-457e-b40f-bb9f9c579ad8,Instagram,2023-09-29 17:26:22,266.0,207.0,37.0,707.0
a34fccfb-f65f-4bee-b792-c90c747926b3,Twitter,2023-11-02 15:29:08,838.0,308.0,102.0,
d6d328d6-e5c5-44f1-893f-782c56826325,LinkedIn,2023-04-09 09:27:00,655.0,296.0,128.0,1144.0
14d34185-639a-4508-a8b6-02a743fe0dbc,LinkedIn,2023-10-26 20:53:33,573.0,192.0,19.0,2797.0
3e8a3f4a-cce1-4ad2-b0ab-e981bff6e10f,Twitter,2022-08-03 00:38:11,816.0,206.0,52.0,
5e5d748d-add3-47c1-a642-1d4b50abda3e,Instagram,2023-07-06 14:11:57,976.0,393.0,170.0,925.0
4fb57935-8d9b-4386-ae17-ee955a2e848d,Twitter,2024-01-17 15:38:39,430.0,223.0,86.0,3265.0
0c0c6343-8950-454f-9232-df4ca691e295,Instagram,2022-07-16 09:03:38,497.0,67.0,26.0,4876.0
6c61614d-0d18-4aad-9d2a-bfee108dbe0d,Twitter,2021-05-07 04:01:30,403.0,233.0,121.0,3004.0
8c2cb087-24b0-4b94-a431-54a3e4287403,Instagram,2023-05-30 01:27:08,455.0,365.0,,2309.0
830043bd-1a2d-47f8-bafb-d1b60e356b21,Facebook,2022-04-11 04:12:23,,407.0,180.0,1509.0
35ba37ae-7b67-46ba-8d6a-71a811739ff8,Facebook,2023-02-06 13:02:03,430.0,301.0,146.0,1056.0
85a05754-cca1-4044-bb53-7d60a5251f95,LinkedIn,2022-03-13 12:42:08,979.0,464.0,53.0,3937.0
253c95f7-431d-4fb6-9714-f2ed7e88ffd5,Instagram,2021-10-01 08:57:51,272.0,214.0,200.0,3635.0
d38fb961-2499-4488-a127-b6624e63f4dd,Twitter,2022-07-12 08:53:49,973.0,309.0,164.0,3917.0
ad0800ff-7c2c-43ad-8e0e-5475beac8c28,Facebook,2022-07-15 08:32:25,823.0,,162.0,4580.0
91c4a56f-b710-4272-9fae-df8932aa8d72,Facebook,2021-08-21 05:48:54,137.0,327.0,141.0,4631.0
b500076f-b136-4e13-818d-9ef714790f4d,Facebook,2022-04-12 16:30:04,658.0,36.0,128.0,3626.0
14ca12b7-e129-4cd8-8612-b9ede3064b47,Facebook,2023-07-02 10:57:11,352.0,476.0,104.0,4242.0
2593949a-51e2-457c-a9ee-7ccfaff77f05,Instagram,2023-06-05 13:17:32,185.0,,89.0,1378.0
5551a96f-6aa0-47b7-981c-8bb5c8df348c,LinkedIn,2023-01-25 13:31:54,917.0,136.0,126.0,798.0
2200f14d-0331-4475-98b3-68d22bdd7431,Facebook,2023-06-29 12:59:57,455.0,,4.0,3335.0
04d1232c-6dee-4a6e-8760-d86df5425f2c,Facebook,2024-01-01 15:51:29,177.0,301.0,88.0,1080.0
4e8144e1-78f2-40af-881c-82082ef4ac9e,Facebook,2022-12-24 08:53:19,431.0,395.0,7.0,1213.0
eb44a413-146b-48f6-9613-b28f4f6db540,LinkedIn,2022-10-28 01:08:54,,337.0,125.0,
7b538846-0d09-4f5e-97bf-1acf5d7c2cf6,Instagram,2023-01-10 21:34:53,378.0,23.0,162.0,2405.0
f493948e-7b92-4db7-ae77-ed37805f4a18,LinkedIn,2023-05-13 01:42:41,848.0,,39.0,2033.0
a344d906-55d0-46ad-9945-79fb9735996e,Facebook,2021-12-29 11:00:23,574.0,41.0,31.0,1150.0
5faf2d73-23d1-4beb-8725-dfedc728a1e8,Facebook,2021-04-28 10:01:03,549.0,374.0,98.0,2409.0
e3b1c35f-bfd8-4298-b255-63507a2afc9a,Facebook,2022-07-11 13:56:43,206.0,442.0,,4835.0
e297aeff-1051-4613-9e22-5fec7b94ac0a,Instagram,2021-07-06 00:46:10,605.0,386.0,107.0,1169.0
03210c56-5d11-4c12-ac74-4f33dcca01ad,Twitter,2023-01-10 17:08:36,518.0,247.0,58.0,4464.0
fc14e9dd-c5fb-4de6-88ec-07f0b2c8829c,Facebook,2022-12-12 17:36:58,376.0,25.0,172.0,4202.0
363d03c7-4e19-4cd1-9413-b99a2a390939,LinkedIn,2021-10-16 01:36:18,689.0,144.0,162.0,1056.0
598e33e3-59b4-4054-b138-0a5915e8f2c5,Facebook,2022-01-23 11:12:08,877.0,128.0,,660.0
2227dcab-53b4-4a5e-90c2-79cd7e853e10,LinkedIn,2021-11-28 01:54:40,742.0,198.0,20.0,2517.0
91e2bc5e-59bc-4737-84ca-7a5fa77ea0cd,Twitter,2023-10-12 04:21:27,197.0,130.0,40.0,1971.0
cf12dd22-de23-482c-b632-4bf5062c57bb,Instagram,2023-04-11 15:05:55,657.0,260.0,200.0,705.0
cc95044a-8e88-4ccd-b012-316c4637dd78,Instagram,2021-03-21 23:42:19,952.0,,33.0,1125.0
709a0bab-2ba4-4722-8df5-06ecce0b134a,Facebook,2023-10-16 13:24:54,732.0,243.0,192.0,3141.0
ce8f74e2-82a5-4bc9-980c-044434d67632,Facebook,2023-06-03 22:21:14,82.0,397.0,8.0,3944.0
3fcfb26a-e665-4e3a-8935-0317c4ca7162,LinkedIn,2022-07-24 03:02:46,120.0,178.0,147.0,1897.0
